-242.19,32970,38774
-242.12,30720,34452
-242.07,28469,31664
-241.95,22359,25858
-241.75,16418,18449
-241.68,14134,16393
-241.63,13987,15066
-241.55,12018,13163
-241.51,11930,12303
-241.49,11250,11895
-241.47,11430,11500
-241.45,10728,11118
-241.41,9246,10392
-241.41,9007,10392
-241.35,8822,9391
-241.35,8674,9391
-241.35,7174,9391
-241.35,8435,9391
-241.34,8035,9234
-241.29,6860,8487
-241.29,8558,8487
-241.28,7171,8345
-241.24,6654,7800
-241.24,7941,7800
-241.23,6838,7669
-241.18,5826,7048
-241.12,5490,6369
-241.12,5611,6369
-241.11,5573,6263
-241.09,5672,6055
-241.05,4772,5660
-241.04,5324,5565
-241.03,5027,5472
-241.02,4700,5380
-241.01,5506,5290
-240.99,4622,5114
-240.97,4228,4945
-240.97,4285,4945
-240.97,4225,4945
-240.97,4917,4945
-240.94,4327,4700
-240.92,4167,4544
-240.92,3888,4544
-240.91,4522,4468
-240.91,3936,4468
-240.91,3587,4468
-240.91,3837,4468
-240.90,3443,4393
-240.89,4368,4320
-240.87,3647,4176
-240.87,3048,4176
-240.86,3930,4107
-240.85,3971,4038
-240.85,3853,4038
-240.84,3259,3970
-240.83,3784,3904
-240.83,3629,3904
-240.82,3064,3838
-240.81,2629,3774
-240.80,3261,3711
-240.79,3694,3649
-240.79,3168,3649
-240.77,3331,3528
-240.77,2881,3528
-240.77,3663,3528
-240.75,2769,3411
-240.74,3045,3353
-240.73,2956,3297
-240.73,2952,3297
-240.72,3016,3242
-240.72,2848,3242
-240.71,2567,3188
-240.71,3051,3188
-240.70,2917,3135
-240.70,3583,3135
-240.68,2981,3030
-240.68,2911,3030
-240.67,3076,2980
-240.66,2825,2930
-240.66,2834,2930
-240.65,2724,2881
-240.65,2122,2881
-240.64,2777,2833
-240.63,3050,2785
-240.63,2646,2785
-240.62,2039,2738
-240.61,2291,2693
-240.61,2553,2693
-240.60,2808,2648
-240.60,2331,2648
-240.59,2474,2603
-240.58,2422,2560
-240.58,2381,2560
-240.58,2677,2560
-240.58,2358,2560
-240.57,2782,2517
-240.57,2481,2517
-240.56,2344,2475
-240.56,2117,2475
-240.55,2264,2433
-240.53,2275,2352
-240.53,2270,2352
-240.53,2035,2352
-240.52,2580,2313
-240.52,2182,2313
-240.51,2407,2274
-240.51,2318,2274
-240.51,2447,2274
-240.50,2064,2236
-240.50,2138,2236
-240.50,2026,2236
-240.50,2118,2236
-240.48,1912,2162
-240.48,1751,2162
-240.48,1878,2162
-240.46,1872,2090
-240.46,1778,2090
-240.46,2209,2090
-240.46,2105,2090
-240.45,1971,2055
-240.43,2040,1987
-240.43,2227,1987
-240.43,1831,1987
-240.43,1810,1987
-240.43,1872,1987
-240.42,1809,1954
-240.41,1663,1921
-240.40,1310,1889
-240.40,1855,1889
-240.39,1716,1857
-240.39,2002,1857
-240.39,1618,1857
-240.38,1773,1826
-240.38,1835,1826
-240.38,1869,1826
-240.37,2092,1796
-240.37,1660,1796
-240.37,1753,1796
-240.37,1730,1796
-240.36,1648,1765
-240.35,1643,1736
-240.35,1520,1736
-240.35,1623,1736
-240.35,1529,1736
-240.34,1522,1707
-240.34,1765,1707
-240.33,1473,1678
-240.33,1320,1678
-240.32,1461,1650
-240.32,1512,1650
-240.31,1619,1623
-240.31,1488,1623
-240.31,1327,1623
-240.31,1412,1623
-240.30,1596,1595
-240.30,1468,1595
-240.29,1184,1569
-240.29,1413,1569
-240.29,1701,1569
-240.28,1720,1542
-240.28,1261,1542
-240.28,1421,1542
-240.27,1611,1517
-240.27,1481,1517
-240.27,1298,1517
-240.26,1224,1491
-240.26,1426,1491
-240.26,1170,1491
-240.26,1409,1491
-240.26,1504,1491
-240.26,1440,1491
-240.26,1219,1491
-240.25,1408,1466
-240.25,1467,1466
-240.25,1296,1466
-240.25,1131,1466
-240.24,1309,1442
-240.24,1782,1442
-240.23,1044,1418
-240.22,1211,1394
-240.22,1151,1394
-240.21,1484,1370
-240.21,1501,1370
-240.21,1166,1370
-240.21,1083,1370
-240.20,1546,1348
-240.20,1328,1348
-240.20,1129,1348
-240.20,1185,1348
-240.20,1481,1348
-240.20,896,1348
-240.20,1084,1348
-240.20,1386,1348
-240.19,1144,1325
-240.19,1308,1325
-240.19,1059,1325
-240.19,1403,1325
-240.18,939,1303
-240.18,1151,1303
-240.18,1373,1303
-240.18,1278,1303
-240.17,1075,1281
-240.17,1043,1281
-240.16,1486,1260
-240.16,1344,1260
-240.16,1258,1260
-240.16,1155,1260
-240.15,1304,1238
-240.15,1584,1238
-240.15,1356,1238
-240.15,1016,1238
-240.15,1011,1238
-240.14,1233,1218
-240.14,1026,1218
-240.14,922,1218
-240.14,1171,1218
-240.14,1233,1218
-240.14,1480,1218
-240.14,992,1218
-240.14,1260,1218
-240.14,802,1218
-240.14,1242,1218
-240.13,1131,1197
-240.13,1095,1197
-240.12,1337,1177
-240.12,1032,1177
-240.12,1172,1177
-240.11,1131,1158
-240.11,1224,1158
-240.10,1165,1138
-240.10,1009,1138
-240.10,1176,1138
-240.10,1011,1138
-240.10,926,1138
-240.09,1053,1119
-240.09,892,1119
-240.09,809,1119
-240.09,1110,1119
-240.09,1586,1119
-240.09,1195,1119
-240.09,918,1119
-240.09,1004,1119
-240.08,930,1100
-240.08,790,1100
-240.08,949,1100
-240.08,1081,1100
-240.07,1116,1082
-240.07,1096,1082
-240.07,1207,1082
-240.06,1027,1064
-240.06,1129,1064
-240.06,972,1064
-240.06,840,1064
-240.06,935,1064
-240.06,661,1064
-240.06,1053,1064
-240.05,829,1046
-240.04,660,1028
-240.04,945,1028
-240.04,1022,1028
-240.04,1339,1028
-240.04,1085,1028
-240.04,892,1028
-240.04,843,1028
-240.03,828,1011
-240.03,1246,1011
-240.03,688,1011
-240.03,763,1011
-240.03,1165,1011
-240.03,636,1011
-240.03,952,1011
-240.02,1291,994
-240.02,1156,994
-240.02,786,994
-240.01,914,978
-240.01,878,978
-240.01,794,978
-240.00,965,961
-240.00,932,961
-240.00,546,961
-240.00,862,961
-239.99,753,945
-239.99,973,945
-239.99,905,945
-239.99,806,945
-239.99,569,945
